file,size
1151094928.txt,5.16
1151577820.txt,8.992
1151689605.txt,4.13
1152563768.txt,8.965
1152909980.txt,3.539
1152912026.txt,2.481
1152974217.txt,7.893
1153139501.txt,4.307
1153163328.txt,4.879
1153167959.txt,4.205
1153172761.txt,4.56
1153186426.txt,5.738
1153232546.txt,3.045
1153232841.txt,2.296
1153233036.txt,11.946
1153254016.txt,17.702
1153273819.txt,5.263
1153314389.txt,14.567
1153339440.txt,1.342
1153406000.txt,5.417
1153424011.txt,3.626
1153470204.txt,4.946
1153482869.txt,12.115
1153520622.txt,1.727
1153761297.txt,4.473
1153762381.txt,2.083
1153771098.txt,10.004
1153772456.txt,1.433
1153866449.txt,1.711
1154090231.txt,1.262
1154353922.txt,11.672
1154370684.txt,1.317
1154461714.txt,2.824
1154484340.txt,3.0
1154697504.txt,94.948
1155150358.txt,5.966
1155333435.txt,2.589
1155346370.txt,3.805
1155402164.txt,15.828
1155497558.txt,1.859
1155832288.txt,9.147
1156334874.txt,0.984
1156988605.txt,5.162
1157074096.txt,2.178
1157138720.txt,6.543
1157473748.txt,5.063
1157546057.txt,6.216
1158153059.txt,4.448
1158175939.txt,1.859
1158180188.txt,6.164
1158204073.txt,8.563
1158324958.txt,11.976
1158336060.txt,5.289
1158680269.txt,2.098
1158770262.txt,5.137
1159800386.txt,1.698
1160140264.txt,4.793
1160142338.txt,2.176
1160755490.txt,6.293
1160771811.txt,2.919
1161261884.txt,9.374
1163715685.txt,18.17
1163771694.txt,16.593
1164059987.txt,2.569
1164120712.txt,9.337
1167752455.txt,7.599
1167754725.txt,9.258
1167928837.txt,6.585
1167961271.txt,3.126
1168014304.txt,3.292
1168022320.txt,13.056
1168124326.txt,2.98
1168288278.txt,17.304
1168353155.txt,1.811
1168356704.txt,7.28
1168467907.txt,6.415
1168883146.txt,8.069
1168921050.txt,4.707
1169050678.txt,1.946
1169238969.txt,11.753
1169653761.txt,2.926
1170724434.txt,23.918
1171550268.txt,1.185
1171901402.txt,1.35
1172063883.txt,10.176
1172776463.txt,4.78
1172871972.txt,1.514
1172963659.txt,5.069
1173300731.txt,4.222
1173359793.txt,12.12
1173420319.txt,3.608
1175952951.txt,2.845
1176225793.txt,5.048
1176251075.txt,5.408
1176746137.txt,16.517
1177158252.txt,7.932
1177163150.txt,6.424
1177423054.txt,12.504
1177534709.txt,15.356
1177890796.txt,2.798
1178107838.txt,11.196
1179416790.txt,2.849
1179765915.txt,16.325
1180342271.txt,10.328
1180536574.txt,3.112
1180539376.txt,4.375
1182179459.txt,26.119
1182255717.txt,9.929
1182342470.txt,8.819
1182346299.txt,9.985
1182361058.txt,10.513
1182795642.txt,10.509
1183499559.txt,2.411
1183753398.txt,6.71
1184779319.txt,5.731
1188412866.txt,7.06
1188478901.txt,6.269
1188508827.txt,11.466
1188557698.txt,3.951
1189515774.txt,5.161
1189536059.txt,3.997
1189722851.txt,3.022
1189797973.txt,7.139
1191550129.txt,1.974
1196795844.txt,5.511
1196872660.txt,13.582
1196877845.txt,12.157
1196882357.txt,9.719
1196956362.txt,1.819
1196964260.txt,10.961
1197325034.txt,6.296
1197507092.txt,2.384
1197590292.txt,12.066
1197590293.txt,12.113
1197660675.txt,14.716
1197739308.txt,15.206
1198443017.txt,6.878
1198790779.txt,10.502
1198984230.txt,9.494
1199027884.txt,7.242
1199286511.txt,5.922
1199303943.txt,3.619
1199325151.txt,25.303
1199458641.txt,3.75
1199466465.txt,10.198
1199926335.txt,18.73
1199972428.txt,21.369
1199984805.txt,13.84
1199988028.txt,6.988
1199994210.txt,3.537
1199999668.txt,6.109
1200003656.txt,5.13
1200010023.txt,9.382
1200059003.txt,2.384
1200076878.txt,8.042
1200090166.txt,4.968
1200112408.txt,6.906
1200162026.txt,11.548
1200319411.txt,3.047
1200421039.txt,2.406
1200425298.txt,4.867
1200426564.txt,37.351
1200493432.txt,10.168
1200651426.txt,24.786
1201561936.txt,18.595
1201724331.txt,3.855
1202939193.txt,8.36
1203620834.txt,27.43
1203631942.txt,21.97
1203693276.txt,1.584
1204315423.txt,5.795
1205413129.txt,9.969
1206549942.txt,1.616
1206628118.txt,6.178
1207158227.txt,5.301
1208278112.txt,3.729
1209080077.txt,11.383
1209143958.txt,9.582
1209474516.txt,10.398
1210030332.txt,1.879
1210079946.txt,2.304
1210178552.txt,8.597
1210341221.txt,3.606
1210367056.txt,5.341
1210695733.txt,5.659
1211040378.txt,5.69
1211215007.txt,8.167
1211225754.txt,7.332
1211462932.txt,6.201
1211491089.txt,13.135
1211816659.txt,4.523
1211911286.txt,2.197
1211924186.txt,1.735
1212009215.txt,6.355
1212009927.txt,6.058
1212026314.txt,5.785
1212063122.txt,1.668
1212067640.txt,8.211
1212073451.txt,0.891
1212088415.txt,5.769
1212156886.txt,2.097
1212166714.txt,2.182
1212276269.txt,10.356
1212413521.txt,5.585
1212435868.txt,1.724
1212587222.txt,4.346
1212686327.txt,4.161
1212924720.txt,3.91
1213201481.txt,9.703
1213387146.txt,1.943
1213882741.txt,4.191
1214228874.txt,3.912
1214229243.txt,1.189
1215477224.txt,3.39
1215712600.txt,6.275
1215713915.txt,11.693
1216753979.txt,2.719
1217431501.txt,16.106
1219078495.txt,8.821
1219239172.txt,11.146
1219844013.txt,5.886
1219861908.txt,8.382
1220039621.txt,2.063
1221683947.txt,12.226
1221742524.txt,10.43
1221851501.txt,3.329
1222285054.txt,0.905
1222901025.txt,3.174
1223915581.txt,2.922
1224005421.txt,4.216
1224035484.txt,7.096
1224176459.txt,10.463
1225026120.txt,2.28
1225140121.txt,1.046
1225412081.txt,6.004
1225462391.txt,5.231
1225465306.txt,9.065
1225579812.txt,10.811
1226337052.txt,3.812
1226451442.txt,9.931
1226456830.txt,10.523
1226500291.txt,10.64
1226959467.txt,6.706
1228249747.txt,5.753
1228258714.txt,5.654
1228330629.txt,6.444
1228412429.txt,8.389
1228841349.txt,3.79
1228922050.txt,4.884
1229468467.txt,6.521
1229712795.txt,5.552
1230052094.txt,4.493
1231166089.txt,10.225
1231190304.txt,13.071
1231254297.txt,15.364
1231257056.txt,11.592
1231279297.txt,18.557
1231350711.txt,21.955
1232064755.txt,4.12
1233245601.txt,2.952
1233249393.txt,2.607
1233326033.txt,8.486
1233586975.txt,8.113
1234277656.txt,8.655
1234302123.txt,8.97
1234821995.txt,15.201
1236358770.txt,8.835
1236958090.txt,7.978
1236962118.txt,5.351
1237289045.txt,8.913
1237474374.txt,1.824
1237480766.txt,3.851
1237496573.txt,5.674
1237805013.txt,0.985
1239572061.txt,3.864
1240254197.txt,3.472
1240398230.txt,7.04
1241415427.txt,30.859
1242132884.txt,2.18
1242136391.txt,7.031
1242749575.txt,5.711
1243369385.txt,3.109
1243432634.txt,7.249
1243527777.txt,11.173
1244067818.txt,1.428
1245773909.txt,25.787
1245941966.txt,9.162
1245943185.txt,4.298
1246458696.txt,3.499
1246479448.txt,4.796
1246479579.txt,2.422
1247199598.txt,2.846
1248785856.txt,71.839
1248790545.txt,32.551
1248862973.txt,98.156
1248877389.txt,5.678
1248902393.txt,6.179
1248916539.txt,10.572
1248979991.txt,1.505
1248993704.txt,20.013
1248998466.txt,1.325
1249007192.txt,2.881
1249042511.txt,6.834
1249045162.txt,18.811
1249052097.txt,2.59
1249052848.txt,1.278
1249313699.txt,2.943
1249326482.txt,1.858
1249503274.txt,3.572
1249652050.txt,23.516
1249655311.txt,2.049
1250169233.txt,1.386
1250174764.txt,1.16
1251384906.txt,3.914
1252090220.txt,2.621
1252154659.txt,5.602
1252164302.txt,8.501
1252233095.txt,7.742
1252672219.txt,6.616
1253561029.txt,3.865
1253631628.txt,6.047
1254108338.txt,2.131
1254147614.txt,5.125
1254163301.txt,2.062
1254163518.txt,8.266
1254175144.txt,0.754
1254179301.txt,9.342
1254230232.txt,5.899
1254232855.txt,10.516
1254235516.txt,1.698
1254258663.txt,4.933
1254259645.txt,7.535
1254323180.txt,10.78
1254345174.txt,11.731
1254345329.txt,2.278
1254364959.txt,2.557
1254409004.txt,3.667
1254501801.txt,2.873
1254505571.txt,5.608
1254517566.txt,5.26
1254518902.txt,5.082
1254746802.txt,7.765
1254751382.txt,80.326
1254754536.txt,6.088
1254756944.txt,3.793
1254760537.txt,2.153
1254832684.txt,4.45
1254850534.txt,9.831
1255027691.txt,6.806
1255095172.txt,18.568
1255100876.txt,18.217
1255298593.txt,9.155
1255318331.txt,2.845
1255352257.txt,6.556
1255352444.txt,4.324
1255477545.txt,13.597
1255496484.txt,7.329
1255523796.txt,11.99
1255530325.txt,10.136
1255532032.txt,13.343
1255538481.txt,15.95
1255550975.txt,8.375
1255553034.txt,11.84
1255558867.txt,12.166
1256214796.txt,5.72
1256302524.txt,2.23
1256353124.txt,1.389
1256735067.txt,6.391
1256747199.txt,1.215
1256760240.txt,7.239
1256765544.txt,18.923
1257532857.txt,1.801
1257546975.txt,0.436
1257847147.txt,4.843
1257874826.txt,14.945
1257881012.txt,4.634
1257888920.txt,3.773
1258039134.txt,2.73
1258053464.txt,0.682
