No.,Object designation,Diameter,Impact date/time in UTC,IP,Close years
398,2020FZ2,30,2118-03-29 03:48,0.158039828518978,2110
401,2015XX378,40,2118-12-24 17:05,0.11694557005545,2118
404,2012VJ38,7,2077-11-14 15:41,0.0000514006682086867,2031
408,2020QF1,7,2102-08-14 22:25,0.0000514006682086867,2102
411,2016CG18,7,2062-08-07 04:20,0.0000373009064120258,2062
414,2021CH37,9,2120-02-19 03:44,0.0000412014338098966,2120
416,2020CF2,11,2112-02-10 22:54,0.0000308005051282841,2108
423,2009WQ25,60,2094-10-27 14:39,0.0000456316284635415,2094
424,2008VM,3,2031-11-04 17:35,0.000036600541688017,2031
426,2015XR169,6,2062-12-13 16:23,0.0000367012882152164,2050
427,2016EM156,9,2116-03-19 15:09,0.000032100667693888,2116
435,2019FE,50,2106-03-18 05:29,0.00323712829739068,2095
441,2016AB166,50,2108-01-13 08:04,0.00017210950694328,2106
442,2008TE,10,2023-09-25 11:01,0.00282299546329906,2023
446,2007YM,22,2026-11-29 03:37,0.000078762087026392,2024
447,2010UC7,43,2118-11-06 08:53,0.0266252357343358,2112
449,2005BS1,12,2024-01-14 10:29,0.000078762087026392,2024
450,2017FW90,8,2119-10-03 15:15,0.0000443007132414832,2101
452,2020TS1,5,2121-10-10 07:01,0.00013700506918756,2121
453,2004VZ14,30,2076-11-01 21:39,0.0113319661410093,2076
454,2011SE191,30,2118-09-23 12:45,0.144785637133875,2098
460,2010UY7,7,2109-01-01 13:16,0.0000569022419483328,2066
464,2022CE5,80,2111-11-12 05:10,0.0000496271674403902,2103
466,2020YM1,4,2091-12-24 01:32,0.000161004669135405,2091
469,2006WV29,18,2036-06-04 07:51,0.004096,2036
475,2006CD,300,2026-07-12 07:52,0.00110811177310423,2025
479,2022LL1,27,2118-06-12 20:57,0.0386215161362424,2118
482,2020BY4,21,2055-01-31 00:14,0.014719456800847,2055
488,2016WY,5,2097-11-11 10:03,0.0000955018622863146,2091
491,2021CU1,7,2108-02-13 20:12,0.0000401010546577375,2059
493,2019SO7,80,2114-10-13 13:24,0.110396684324775,2114
497,2022GA2,5,2049-04-07 13:38,0.0000317007449675067,2049
500,2012KP24,18,2032-05-28 14:05,0.000833094753745647,2032
510,2022TW2,7,2109-10-11 17:00,0.0000468011419478635,2071
513,2022KM6,21,2065-06-07 14:24,0.0284399318117886,2065
516,2020GA3,30,2089-04-23 04:57,0.000985472311816802,2054
519,2004FU162,7,2025-03-31 22:23,0.11694557005545,2022
520,2011BP40,29,2037-02-16 15:08,0.000255421210872864,2031
525,2022BT,4,2094-01-23 04:36,0.000149009089554463,2080
527,2011QF48,30,2067-08-26 23:57,0.000104182421545962,2067
529,2022AE6,24,2084-01-25 14:59,0.942045235254207,2084
536,2021DG,3,2050-02-19 01:54,0.0000410004100041,2044
538,1997UA11,30,2073-10-24 02:05,0.00241559497640104,2073
539,2009WW7,6,2108-11-20 01:05,0.000046600493965236,2050
542,2018GS3,24,2119-10-08 03:47,0.207176211033003,2119
543,2022YM1,5,2117-12-03 02:38,0.0000839066957543212,2091
546,2015CL13,26,2090-02-15 16:09,0.0693828938912611,2090
549,2023BU7,2.6,2085-07-09 19:24,0.00031104199066874,2074
550,2022YP2,40,2114-12-20 02:57,0.00276014839478233,2114
557,2017RN16,5,2104-09-11 21:44,0.000047001316036849,2076
561,2004RU109,18,2038-09-14 06:01,0.00302179855413098,2038
